,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Mr Crosby - 2001 Remastered Version,Out Demons Out - The Best Of,Edgar Broughton Band,2001,129266,4,0.796,0.323,0.796,0.441,0.32,0.0811,-12.156,0.122,98.283,4
1,Nyuli,Tungi,Mim Suleiman,2009-11-09,368573,31,0.898,0.00683,0.898,0.389,0.00475,0.0804,-10.083,0.121,111.991,4
2,Night Time in the Switching Yard - 2007 Remaster,Excitable Boy,Warren Zevon,1978-06-01,259320,41,0.799,0.0288,0.799,0.883,0.0818,0.0442,-6.659,0.0493,113.36,4
3,Happy Days,"Star Funk, Vol. 2",Various Artists,1992-01-01,484093,19,0.749,0.00338,0.749,0.647,0.037,0.0761,-15.669,0.0626,114.694,4
4,Free Hifi Internet,EMMANUELLE,EMMANUELLE,2015-12-04,224750,28,0.809,0.0435,0.809,0.443,0.731,0.0845,-7.981,0.0454,115.011,4
5,Julia (Soulwax Remix),Julia (Soulwax Remix),Jungle,2015-05-15,454933,0,0.791,0.0258,0.791,0.788,0.736,0.123,-8.05,0.0727,114.977,4
6,Gala Gadoue Gadoue Gaie,Ex-Voto,Bertrand Renaudin,2011-04-12,51346,1,0.698,0.0131,0.698,0.905,0.74,0.113,-11.855,0.0558,113.832,4
7,Everybody's Night,Golden Dreams,Deux,2013-01-03,335812,27,0.808,0.193,0.808,0.59,0.83,0.103,-12.447,0.0581,115.796,4
8,Where It's At (feat. Reggie Watts) - Johnny Aux Remix,Where It's At (feat. Reggie Watts),Shit Robot,2015-04-27,366496,0,0.809,0.00773,0.809,0.68,0.887,0.135,-6.385,0.0327,125.006,4
9,Love Hangover - Single Version,Diana Ross (Expanded Edition),Diana Ross,1976-02-10,229373,0,0.509,0.321,0.509,0.744,0.00555,0.0439,-9.467,0.0452,111.461,4
10,I Wanna Be Your Lover,The Collection,La Bionda,1994-01-27,193893,38,0.924,0.0839,0.924,0.536,0.0501,0.079,-11.069,0.0576,115.982,4
11,Heaven Scent - Deeweedub,Heaven Scent,Soulwax,2016-07-15,418801,16,0.765,0.0424,0.765,0.901,0.904,0.25,-5.521,0.0472,102.993,4
12,A Day Like Today - Todd Terje « Friendly Children » Edit,Zevolution # 1 - Ze Edits Redux Album,Various Artists,2009-01-01,301133,19,0.748,0.0343,0.748,0.673,0.855,0.0501,-12.566,0.0813,124.505,4
13,Stand On The Word - Larry Levan Mix,Unabombers: Electric Chair Saved My Life,Various Artists,2008-10-06,282853,0,0.712,0.47,0.712,0.701,0.00273,0.076,-8.235,0.0485,107.897,4
14,"Love Honey, Love Heartache",Genius Of Time,Larry Levan,2015-07-01,312985,18,0.912,0.00657,0.912,0.416,0.0002,0.0754,-8.488,0.145,119.293,4
15,"Put Your Body In It - 12"" Version",The Best Of Stephanie Mills,Stephanie Mills,1995-01-01,360745,0,0.772,0.109,0.772,0.515,0.0665,0.0482,-13.69,0.0504,118.061,4
16,Stop Bajon,Stop Bajon,Tullio De Piscopo,2017-01-12,158563,3,0.806,0.0896,0.806,0.59,0.0174,0.358,-14.539,0.0437,106.341,4
17,Comanchero,Le migliori canzoni anni '80,Various Artists,2014-07-15,191840,0,0.743,0.509,0.743,0.64,1.51e-05,0.0724,-11.352,0.0409,98.975,4
18,What Is Love?,The Very Best of Deee-Lite,Deee-Lite,2001,228680,20,0.799,0.000628,0.799,0.911,0.841,0.101,-6.07,0.0458,116.48,4
19,The Safety Dance - Extended Club Mix,The Safety Dance – the Collection,Men Without Hats,2010-06-28,273453,26,0.737,0.0238,0.737,0.781,5.11e-06,0.121,-6.452,0.0394,101.477,4
20,Bubble Sex,Disco Tango [Remastered],Tommy Seebach,2011-11-11,343546,12,0.582,0.00161,0.582,0.821,0.564,0.144,-8.438,0.0278,107.213,4
21,Girl You Need A Change Of Mind,"The Eddie Kendricks Collection, Volume 1",Eddie Kendricks,2005-01-01,462826,0,0.456,0.0832,0.456,0.862,0.00429,0.195,-8.393,0.0386,104.457,4
22,Let's Start The Dance,The Collection,Bohannon,2004-01-01,351706,38,0.782,0.000429,0.782,0.938,0.121,0.118,-8.692,0.05,118.086,4
23,Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),Queen,1980-06-27,214653,82,0.933,0.112,0.933,0.528,0.312,0.163,-6.472,0.161,109.967,4
24,Moonboots,Best of Afro Funk (Afrobeat Music & Dance Hits),Various Artists,2014-09-11,301240,0,0.557,5.29e-05,0.557,0.858,0.77,0.117,-5.128,0.0407,121.52,4
25,A Place Called Tarot - Idjut Boys Re-Edit (DITS Edit),Disco Kosmische Vol. 1,Various Artists,2009-06-22,580840,0,0.729,0.118,0.729,0.482,0.919,0.0815,-13.27,0.0518,119.011,4
26,I Travel To You - Original,I Travel To You,Bepu N'Gali,2012-07-02,474006,20,0.629,0.0201,0.629,0.899,0.851,0.127,-9.57,0.0362,115.999,4
27,"Life In Tokyo - 12"" Extended Version",Quiet Life,Japan,1979,424973,0,0.713,0.0341,0.713,0.554,0.0058,0.0974,-12.427,0.0287,120.069,4
28,Mangous Ye,Sounds of Afrique,Various Artists,2015-06-09,273476,11,0.685,0.0216,0.685,0.659,0.000539,0.0981,-12.741,0.0521,130.584,4
29,Il Veliero - Extended Version,Il Veliero,The Chaplin Band,2009-12-08,720480,33,0.651,0.0143,0.651,0.464,0.757,0.0672,-16.1,0.032,120.835,4
30,I'm a Man - 2002 Remaster,Chicago Transit Authority,Chicago,1969-04-28,462760,45,0.55,0.000596,0.55,0.947,0.0177,0.0999,-6.983,0.0735,127.609,4
31,Witness The Change/I Don't Know What Love Is,Homosapien,Pete Shelley,1981,503173,14,0.533,0.000758,0.533,0.803,0.81,0.135,-10.055,0.0931,105.955,4
32,Rip It Up,Rip It Up,Orange Juice,1982,320413,0,0.881,0.0532,0.881,0.546,0.000149,0.0497,-9.357,0.0407,102.814,4
33,My Spine Is The Bassline,Disco Not Disco,Various Artists,2008-01-14,241693,40,0.582,0.281,0.582,0.875,0.269,0.0943,-10.601,0.0454,112.564,4
34,Goodnight Tonight,Wingspan (UK Version),Paul McCartney,2001-05-07,260800,0,0.748,0.0566,0.748,0.683,0.000639,0.0809,-9.885,0.0466,123.384,4
35,Spacer Woman - Vocal,"Spacer woman (12 Inc, Mr. Disco)",Charlie,1983,449499,37,0.742,0.00011,0.742,0.965,0.607,0.0703,-8.291,0.0538,123.04,4
36,Love Has Come Around,Love Byrd,"Donald Byrd And 125th Street, N.Y.C.",1981,472866,34,0.727,0.0888,0.727,0.724,0.271,0.292,-8.982,0.0398,111.741,4
37,Plastic Dreams - Radio Edit,Plastic Dreams,Jaydee,2011-03-25,205050,0,0.731,0.178,0.731,0.575,0.349,0.0693,-13.088,0.0334,128.819,4
38,French Kiss,The Sound of Sexploitation (Mojo Jazz),Various Artists,2015-01-13,617160,34,0.769,0.172,0.769,0.508,0.878,0.339,-13.279,0.108,116.718,4
39,I.c. Love Affair - Italian Version,Italo Disco Party (30 Classics from Italian Records),Various Artists,2011-09-26,388386,0,0.762,0.233,0.762,0.405,0.735,0.113,-15.169,0.0533,107.909,4
40,Special Agent Man - Female Version,Italo Disco Party (30 Classics from Italian Records),Various Artists,2011-09-26,438026,0,0.794,0.000363,0.794,0.636,0.221,0.301,-9.03,0.069,99.981,4
41,Beginning of the Heartbreak/Don't Don't,Love of Life Orchestra,Love of Life Orchestra,2010-10-12,530960,0,0.476,0.00274,0.476,0.635,0.274,0.101,-7.735,0.0318,102.724,4
42,I Need You Tonight,H-Track Edit Series 1 - EP,Various Artists,2008-03-26,429897,0,0.898,0.00776,0.898,0.5,0.292,0.0771,-11.089,0.0571,122.281,4
43,I Need A Freak,Lowrider Magazine Soundtrack Vol. 3,Various Artists,2005-01-01,196560,34,0.971,0.0101,0.971,0.417,0.000826,0.0688,-10.742,0.19,120.624,4
44,Let Me Go - 12'' Extended Version,so80s (So Eighties) - Pres. By Blank & Jones,Various Artists,2010-03-12,379555,0,0.673,0.0076,0.673,0.808,0.122,0.104,-5.955,0.0387,106.581,4
45,Take A Chance - 1979,The Letter (Digitally Remastered),Queen Samantha,2006-01-20,455466,25,0.729,0.193,0.729,0.842,0.706,0.255,-8.929,0.0532,116.424,4
