,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Never (Lagos Never Gonna Be the Same),Rejoice,Tony Allen,2020-03-20,233680,46,0.766,0.178,0.766,0.742,0.02,0.0916,-8.458,0.0428,100.024,4
1,Free My People,"Soul Jazz Records Presents Nigeria Soul Fever: Afro Funk, Disco And Boogie: West African Disco Mayhem!",Various Artists,1978,292680,0,0.601,0.136,0.601,0.711,0.00187,0.249,-10.698,0.106,119.385,4
2,Akula Owu Onyeara,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77 (Soundway Records)",The Funkees,2012-03-19,448914,45,0.701,0.525,0.701,0.701,0.047,0.235,-10.323,0.123,110.718,4
3,Born Black,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",Various Artists,2017-05-19,197666,40,0.708,0.2,0.708,0.867,0.116,0.0618,-5.188,0.0481,126.932,4
4,Khala My Friend,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",Various Artists,2017-05-19,200933,45,0.549,0.113,0.549,0.517,0.255,0.205,-13.633,0.0239,88.003,4
5,Wanna Do My Thing,Feelin' Funky,Matata,1994-01-01,187800,39,0.705,0.531,0.705,0.625,7.73e-06,0.348,-11.963,0.0639,97.831,4
6,Love and Death,Love & Death,Ebo Taylor,2010-10-25,415090,51,0.742,0.135,0.742,0.896,0.461,0.12,-7.208,0.0501,102.451,4
7,Afe Ato Yen Bio,Afro-Beat Airways: Ghana & Togo 1974-1978 (Analog Africa No. 14),Various Artists,2010-08-02,282070,42,0.814,0.404,0.814,0.856,0.000164,0.147,-4.97,0.0404,122.312,4
8,Petit Sekou,Discothèque 76,Bembeya Jazz National,1976,355250,0,0.495,0.173,0.495,0.744,0.9,0.126,-5.372,0.0481,81.069,4
9,Afro Beat Blues (Feat. Ojah),Presents the Chissa Years 1965-1975,Hugh Masekela,2006-07-24,407160,0,0.778,0.466,0.778,0.83,0.357,0.111,-7.093,0.072,95.887,4
10,Tire Loma da Nigbehin,Tire Loma Da Nigbehin,Monomono,2011-07-17,288706,37,0.571,0.621,0.571,0.645,0.000317,0.0953,-8.012,0.0526,108.311,4
11,Funky Lady,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",Various Artists,2017-05-19,369986,37,0.711,0.639,0.711,0.722,0.0,0.0505,-8.959,0.184,128.044,4
