,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,(En) El Séptimo Día - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,263280,54,0.582,0.0018,0.582,0.864,0.000578,0.17,-6.356,0.026,106.191,1
1,Un Millón De Años Luz - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,304053,56,0.531,0.0122,0.531,0.751,0.00396,0.396,-7.566,0.0251,95.215,4
2,Canción Animal - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,247453,55,0.635,0.000848,0.635,0.789,0.00348,0.331,-6.815,0.0244,105.119,4
3,1990 (Mil Nueve Noventa) - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,218746,52,0.548,0.0112,0.548,0.727,0.00687,0.174,-7.68,0.0286,95.112,4
4,Sueles Dejarme Solo - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,226920,55,0.409,0.000293,0.409,0.71,0.51,0.0827,-6.686,0.0293,153.638,4
5,De Música Ligera - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,212746,72,0.536,0.000638,0.536,0.749,0.555,0.272,-6.392,0.0282,124.235,4
6,Hombre Al Agua - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,355066,53,0.603,0.00916,0.603,0.657,0.0167,0.0704,-7.938,0.0265,97.113,4
7,Entre Caníbales - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,246693,56,0.551,0.00559,0.551,0.608,0.0143,0.137,-10.231,0.0277,112.318,4
8,Té Para 3 - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,145493,51,0.595,0.419,0.595,0.238,2.71e-05,0.153,-12.862,0.0322,116.638,3
9,Cae El Sol - Remasterizado 2007,Canción Animal (Remastered),Soda Stereo,1990-10-09,262746,50,0.543,0.0149,0.543,0.829,0.06,0.552,-6.823,0.0339,94.147,4
10,Cuando Pase El Temblor - Remasterizado 2007,Nada Personal (Remastered),Soda Stereo,1985-10-09,229160,69,0.652,0.0314,0.652,0.607,0.00285,0.0721,-8.657,0.0368,94.089,4
11,Prófugos - Remasterizado 2007,Signos (Remastered),Soda Stereo,1986-10-09,317613,60,0.551,0.00268,0.551,0.895,0.0403,0.299,-4.267,0.0391,127.223,4
12,Nada Personal - Remasterizado 2007,Nada Personal (Remastered),Soda Stereo,1985-10-09,292573,62,0.763,0.422,0.763,0.939,0.136,0.119,-4.826,0.0488,124.396,4
13,Trátame Suavemente - Remasterizado 2007,Soda Stereo (Remastered),Soda Stereo,1984-02-06,200800,69,0.738,0.0438,0.738,0.801,0.0572,0.595,-3.366,0.0284,122.857,4
14,Juegos De Seducción - Remasterizado 2007,Nada Personal (Remastered),Soda Stereo,1985-10-09,198106,56,0.61,0.0993,0.61,0.893,0.0224,0.0929,-4.589,0.0466,100.934,4
15,Un Misil En Mi Placard - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,274586,61,0.502,0.00223,0.502,0.784,0.00105,0.907,-7.707,0.0243,95.966,4
16,Signos - Remasterizado 2007,Signos (Remastered),Soda Stereo,1986-10-09,315346,55,0.633,0.402,0.633,0.647,0.0365,0.101,-8.658,0.0333,125.008,4
17,Corazón Delator - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,312840,55,0.565,0.0643,0.565,0.632,0.221,0.397,-6.994,0.0274,85.317,4
18,En la Ciudad de la Furia - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,522000,62,0.361,0.414,0.361,0.519,0.0576,0.845,-10.02,0.0594,170.562,4
19,Lo Que Sangra (La Cúpula) - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,273933,53,0.533,0.0328,0.533,0.894,0.000306,0.3,-4.773,0.0387,101.305,4
20,Entre Canibales - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,294146,59,0.634,0.018,0.634,0.677,0.0154,0.946,-7.149,0.0278,110.919,4
21,De Música Ligera - Remasterizado 2007,El Ultimo Concierto B (Remastered),Soda Stereo,1997-10-09,291373,56,0.263,0.0392,0.263,0.889,0.089,0.723,-5.742,0.156,124.185,4
22,Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,364493,52,0.372,0.00285,0.372,0.764,0.0121,0.708,-7.352,0.0347,82.824,4
23,El Rito - Remasterizado 2007,Signos (Remastered),Soda Stereo,1986-10-09,366266,54,0.677,0.0201,0.677,0.792,0.0397,0.107,-6.089,0.0287,119.223,4
24,Sobredosis de T.V. - Remasterizado 2007,Soda Stereo (Remastered),Soda Stereo,1984-02-06,249053,52,0.764,0.0314,0.764,0.797,0.342,0.0554,-3.691,0.0336,124.72,4
25,Disco Eterno - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,346026,53,0.549,0.00224,0.549,0.795,0.188,0.293,-7.169,0.0268,150.076,4
26,Te Para 3 - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,247000,64,0.53,0.705,0.53,0.339,0.0103,0.709,-9.913,0.0271,115.7,3
27,Pic Nic En El 4° B - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,220240,46,0.668,0.0147,0.668,0.885,0.37,0.131,-4.83,0.0284,123.824,4
28,No Existes - Remasterizado 2007,Signos (Remastered),Soda Stereo,1986-10-09,283613,48,0.23,0.009,0.23,0.863,0.000682,0.219,-5.213,0.0854,79.648,4
29,Imágenes Retro - Remasterizado 2007,Nada Personal (Remastered),Soda Stereo,1985-10-09,229813,48,0.67,0.0814,0.67,0.932,0.00131,0.18,-4.395,0.0428,127.178,4
30,Primavera 0 - Remasterizado 2007,Dynamo (Remastered),Soda Stereo,1992-10-09,221440,52,0.385,0.00111,0.385,0.759,0.0448,0.0941,-6.72,0.0436,134.023,4
31,Fue - Me Verás Volver Gira 2007,Gira Me Verás Volver,Soda Stereo,2008-07-14,277666,50,0.339,0.514,0.339,0.44,0.151,0.702,-11.933,0.0369,129.573,4
32,Luna Roja - Remasterizado 2007,Dynamo (Remastered),Soda Stereo,1992-10-09,330600,49,0.331,1.21e-05,0.331,0.543,0.533,0.0836,-8.584,0.0328,94.079,4
33,Te Hacen Falta Vitaminas - Remasterizado 2007,Soda Stereo (Remastered),Soda Stereo,1984-02-06,158293,52,0.582,0.0516,0.582,0.966,0.231,0.0412,-3.712,0.0675,186.296,4
34,Paseando Por Roma - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,214186,50,0.515,0.000928,0.515,0.734,0.0461,0.09,-5.547,0.0357,127.746,4
35,Zona de Promesas,Obras Cumbres (Parte 2),Soda Stereo,2006-10-31,238973,45,0.191,0.0181,0.191,0.378,0.633,0.158,-8.874,0.03,75.843,3
36,Angel Electrico - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,285280,50,0.438,0.112,0.438,0.764,0.0296,0.73,-8.512,0.0408,91.84,4
37,Si No Fuera Por... - Remasterizado 2007,Nada Personal (Remastered),Soda Stereo,1985-10-09,207640,51,0.605,0.0183,0.605,0.855,0.00404,0.242,-5.25,0.047,172.275,4
38,Vita-Set - Remasterizado 2007,Ruido Blanco (Remastered),Soda Stereo,1987-10-09,266826,42,0.271,0.0893,0.271,0.978,0.588,0.96,-4.654,0.178,178.936,4
39,Por Qué No Puedo Ser Del Jet Set? - Remasterizado 2007,Soda Stereo (Remastered),Soda Stereo,1984-02-06,140346,50,0.63,0.0974,0.63,0.973,0.391,0.288,-3.356,0.135,178.183,4
40,En Remolinos - Remasterizado 2007,Dynamo (Remastered),Soda Stereo,1992-10-09,277186,47,0.361,4.33e-05,0.361,0.843,0.732,0.102,-7.317,0.0463,95.923,4
41,Crema De Estrellas - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,277120,48,0.531,0.2,0.531,0.372,0.00159,0.345,-11.834,0.0254,137.46,4
42,Día Común- Doble Vida - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,279280,44,0.679,0.0532,0.679,0.956,0.000521,0.184,-4.024,0.0675,117.199,4
43,Languis - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,234040,43,0.661,0.16,0.661,0.895,0.0851,0.0945,-5.385,0.0369,120.144,4
44,Coral,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,222133,46,0.511,0.0224,0.511,0.574,0.0103,0.0819,-9.888,0.0317,88.449,4
45,Terapia De Amor Intensiva - Remasterizado 2007,Doble Vida (Remastered),Soda Stereo,1988-10-09,340213,44,0.593,0.251,0.593,0.672,0.418,0.555,-7.417,0.0256,91.294,4
46,Planta - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,292573,44,0.365,0.0209,0.365,0.474,0.402,0.109,-7.522,0.0315,119.068,4
47,Efecto Doppler - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,302800,44,0.545,0.0382,0.545,0.664,0.691,0.201,-10.704,0.033,110.892,4
48,Ojo De La Tormenta - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,273160,44,0.539,0.000419,0.539,0.833,0.307,0.319,-6.527,0.0262,95.009,4
49,Mundo De Quimeras - Remasterizado 2007,Languis (Remastered),Soda Stereo,1989-02-28,401266,44,0.703,0.301,0.703,0.916,0.002,0.128,-6.673,0.0501,115.782,4
50,Sweet Sahumerio - Remasterizado 2007,Dynamo (Remastered),Soda Stereo,1992-10-09,363360,44,0.634,0.00119,0.634,0.665,0.579,0.148,-12.186,0.0363,113.966,4
51,Pasos - Remasterizado 2007,Sueño Stereo (Remastered),Soda Stereo,1995-10-09,233706,43,0.469,0.0626,0.469,0.581,0.0497,0.102,-10.358,0.0341,88.906,4
